predefined_key,message_title,message_ar,message_en,category,active,is_predefined,weight,is_quran,is_hadith,source_type,source_reference,translation_source,source_grade,verified,verified_by,verified_on
quran_001,Qur’an Reminder 001 - Al-Fatihah 1:1,TODO: أضف النص العربي الموثق للآية Qur’an 1:1 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:1 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:1,Sahih International,,0,,
quran_002,Qur’an Reminder 002 - Al-Fatihah 1:2,TODO: أضف النص العربي الموثق للآية Qur’an 1:2 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:2 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:2,Sahih International,,0,,
quran_003,Qur’an Reminder 003 - Al-Fatihah 1:3,TODO: أضف النص العربي الموثق للآية Qur’an 1:3 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:3 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:3,Sahih International,,0,,
quran_004,Qur’an Reminder 004 - Al-Fatihah 1:4,TODO: أضف النص العربي الموثق للآية Qur’an 1:4 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:4 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:4,Sahih International,,0,,
quran_005,Qur’an Reminder 005 - Al-Fatihah 1:5,TODO: أضف النص العربي الموثق للآية Qur’an 1:5 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:5 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:5,Sahih International,,0,,
quran_006,Qur’an Reminder 006 - Al-Fatihah 1:6,TODO: أضف النص العربي الموثق للآية Qur’an 1:6 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:6 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:6,Sahih International,,0,,
quran_007,Qur’an Reminder 007 - Al-Fatihah 1:7,TODO: أضف النص العربي الموثق للآية Qur’an 1:7 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 1:7 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 1:7,Sahih International,,0,,
quran_008,Qur’an Reminder 008 - Al-Baqarah 2:1,TODO: أضف النص العربي الموثق للآية Qur’an 2:1 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:1 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:1,Sahih International,,0,,
quran_009,Qur’an Reminder 009 - Al-Baqarah 2:2,TODO: أضف النص العربي الموثق للآية Qur’an 2:2 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:2 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:2,Sahih International,,0,,
quran_010,Qur’an Reminder 010 - Al-Baqarah 2:3,TODO: أضف النص العربي الموثق للآية Qur’an 2:3 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:3 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:3,Sahih International,,0,,
quran_011,Qur’an Reminder 011 - Al-Baqarah 2:4,TODO: أضف النص العربي الموثق للآية Qur’an 2:4 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:4 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:4,Sahih International,,0,,
quran_012,Qur’an Reminder 012 - Al-Baqarah 2:5,TODO: أضف النص العربي الموثق للآية Qur’an 2:5 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:5 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:5,Sahih International,,0,,
quran_013,Qur’an Reminder 013 - Al-Baqarah 2:6,TODO: أضف النص العربي الموثق للآية Qur’an 2:6 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:6 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:6,Sahih International,,0,,
quran_014,Qur’an Reminder 014 - Al-Baqarah 2:7,TODO: أضف النص العربي الموثق للآية Qur’an 2:7 قبل التفعيل.,TODO: Add the verified Sahih International translation for Qur’an 2:7 before enabling.,Qur’an,0,1,1,1,0,Qur’an,Qur’an 2:7,Sahih International,,0,,
