"Barakah Desk","بركة دِسك"
"Prayer alerts and mindful reminders for Frappe Desk.","تنبيهات الصلاة وتذكيرات هادفة لواجهة فربّيه"
"Barakah Desk Settings","إعدادات بركة دِسك"
"Enable Random Messages","تفعيل الرسائل العشوائية"
"Enable Prayer Notifications","تفعيل تنبيهات الصلاة"
"Random Message Settings","إعدادات الرسائل العشوائية"
"Enable Predefined Messages","تفعيل الرسائل الجاهزة"
"Enable Custom Messages","تفعيل الرسائل المخصصة"
"Show Arabic Messages","عرض الرسائل العربية"
"Show English Messages","عرض الرسائل الإنجليزية"
"Enable Qur'an Messages","تفعيل رسائل القرآن"
"Enable Hadith Messages","تفعيل رسائل الحديث"
"Hide Unverified Religious Messages","إخفاء الرسائل الدينية غير الموثقة"
"Message Selection Mode","وضع اختيار الرسائل"
"By Category","حسب التصنيف"
"Individual Messages","رسائل فردية"
"Both","كلاهما"
"Message Schedule Mode","وضع جدولة الرسائل"
"Interval","فاصل زمني"
"Fixed Times","أوقات ثابتة"
"Message Interval Minutes","فاصل الرسائل بالدقائق"
"Fixed Message Times","أوقات رسائل ثابتة"
"Prayer Settings","إعدادات الصلاة"
"City","المدينة"
"Country","الدولة"
"Use System Timezone","استخدام المنطقة الزمنية للنظام"
"Prayer API Provider","مزود واجهة برمجة الصلاة"
"Prayer Calculation Method","طريقة حساب الصلاة"
"Prayer Notification Style","نمط تنبيه الصلاة"
"show_alert","تنبيه سريع"
"msgprint","نافذة حوار"
"Enabled Prayer Events","أحداث الصلاة المفعلة"
"Preview Random Message","معاينة رسالة عشوائية"
"Trigger Random Notification","تشغيل تنبيه عشوائي"
"Preview Next Prayer Notification","معاينة تنبيه الصلاة القادم"
"Trigger Prayer Notification","تشغيل تنبيه الصلاة"
"Show Today Prayer Times","عرض أوقات صلاة اليوم"
"Prayer Preview","معاينة الصلاة"
"Prayer Notification","تنبيه الصلاة"
"Today Prayer Times","أوقات صلاة اليوم"
"Current Time","الوقت الحالي"
"Unable to fetch next prayer notification preview.","تعذر جلب معاينة تنبيه الصلاة القادم."
"Unable to fetch today prayer times.","تعذر جلب أوقات صلاة اليوم."
"Prayer","الصلاة"
"Prayer Time","وقت الصلاة"
"Time Remaining","الوقت المتبقي"
"Passed","انتهى"
"min","دقيقة"
"left","متبقي"
"Alert Time","وقت التنبيه"
"Alert Before (minutes)","التنبيه قبل (دقائق)"
"Timezone","المنطقة الزمنية"
"Source","المصدر"
"Enabled","مفعل"
"Yes","نعم"
"No","لا"
"At least one language must be enabled.","يجب تفعيل لغة واحدة على الأقل."
"Only System Manager can call this method","فقط مدير النظام يمكنه استدعاء هذه الطريقة"
"Authentication required","تسجيل الدخول مطلوب"
"Prayer API unavailable","واجهة برمجة الصلاة غير متاحة"
"Prayer city/country is not configured","لم يتم ضبط مدينة/دولة الصلاة"
"No enabled prayer event found","لا يوجد حدث صلاة مفعّل"
"General","عام"
"General Wisdom","حِكم عامة"
"Leadership","القيادة"
"Productivity","الإنتاجية"
"Patience & Gratitude","الصبر والامتنان"
"Work Ethics","أخلاقيات العمل"
"Motivational","تحفيزي"
"Islamic Reminder","تذكير إسلامي"
"Hadith","حديث"
"Qur’an","القرآن"
"Fajr","الفجر"
"Sunrise","الشروق"
"Dhuhr","الظهر"
"Asr","العصر"
"Maghrib","المغرب"
"Isha","العشاء"
"Alert Before Minutes","التنبيه قبل بالدقائق"
"Enabled Message Categories","تصنيفات الرسائل المفعلة"
"Barakah Message Category","تصنيف رسائل بركة"
"Barakah Message","رسالة بركة"
"Barakah Prayer Event","حدث صلاة بركة"
"Barakah Enabled Message Category","تصنيف رسالة مفعّل لبركة"
"Barakah Fixed Message Time","وقت رسالة ثابت لبركة"
